iter	Passed	Remaining
0	88	61915
1	166	58238
2	239	55630
3	323	56302
4	401	55863
5	473	54736
6	554	54929
7	633	54774
8	708	54402
9	795	54885
10	867	54315
11	943	54112
12	1014	53630
13	1089	53394
14	1166	53247
15	1252	53564
16	1327	53320
17	1398	52978
18	1485	53260
19	1570	53391
20	1645	53198
21	1726	53193
22	1811	53322
23	1889	53212
24	1967	53116
25	2042	52942
26	2116	52762
27	2201	52829
28	2272	52571
29	2348	52455
30	2422	52274
31	2508	52360
32	2637	53319
33	2848	55802
34	3011	57212
35	3101	57197
36	3174	56885
37	3258	56774
38	3360	56962
39	3445	56846
40	3535	56831
41	3656	57279
42	3759	57439
43	3837	57208
44	3923	57112
45	4006	56967
46	4085	56760
47	4174	56702
48	4248	56442
49	4329	56282
50	4401	56008
51	4492	55985
52	4566	55749
53	4640	55516
54	4726	55430
55	4829	55542
56	4914	55437
57	4989	55229
58	5067	55053
59	5145	54890
60	5217	54660
61	5296	54500
62	5372	54326
63	5449	54157
64	5525	53976
65	5740	55146
66	5948	56200
67	6076	56477
68	6176	56485
69	6273	56464
70	6376	56492
71	6479	56512
72	6627	56921
73	6747	57083
74	6871	57259
75	7026	57694
76	7155	57897
77	7258	57885
78	7383	58040
79	7504	58158
80	7633	58332
81	7725	58222
82	7804	58016
83	7880	57789
84	7958	57582
85	8033	57355
86	8346	58811
87	8548	59453
88	8665	59492
89	8871	60131
90	8974	60060
91	9075	59978
92	9164	59817
93	9244	59594
94	9320	59356
95	9394	59105
96	9480	58933
97	9560	58729
98	9649	58577
99	9726	58358
100	9798	58109
101	9870	57869
102	9970	57787
103	10068	57700
104	10156	57555
105	10243	57404
106	10337	57289
107	10421	57126
108	10505	56958
109	10582	56758
110	10654	56535
111	10730	56333
112	10805	56133
113	10883	55947
114	10994	55928
115	11069	55728
116	11149	55558
117	11226	55373
118	11311	55228
119	11387	55038
120	11461	54845
121	11533	54640
122	11610	54463
123	11683	54272
124	11797	54266
125	11875	54099
126	11944	53891
127	12020	53714
128	12097	53547
129	12175	53387
130	12248	53203
131	12318	53005
132	12395	52842
133	12478	52709
134	12566	52593
135	12641	52423
136	12711	52235
137	12791	52090
138	12866	51930
139	12939	51758
140	13015	51600
141	13090	51441
142	13166	51285
143	13239	51117
144	13316	50971
145	13403	50858
146	13487	50739
147	13567	50601
148	13650	50479
149	13730	50346
150	13809	50206
151	13892	50084
152	13967	49937
153	14044	49792
154	14123	49659
155	14198	49512
156	14277	49379
157	14351	49230
158	14428	49093
159	14501	48942
160	14580	48812
161	14659	48684
162	14732	48536
163	14802	48379
164	14885	48265
165	14960	48125
166	15031	47974
167	15102	47825
168	15173	47675
169	15249	47542
170	15320	47396
171	15415	47321
172	15484	47170
173	15555	47023
174	15626	46878
175	15707	46764
176	15802	46693
177	15965	46818
178	16080	46803
179	16210	46831
180	16344	46866
181	16496	46950
182	16607	46917
183	16712	46867
184	16815	46810
185	16910	46730
186	16998	46631
187	17075	46504
188	17188	46472
189	17297	46429
190	17429	46447
191	17515	46342
192	17594	46220
193	17664	46073
194	17764	46006
195	17838	45870
196	17919	45753
197	18006	45652
198	18089	45540
199	18157	45394
200	18232	45264
201	18310	45140
202	18388	45020
203	18516	45020
204	18602	44918
205	18693	44828
206	18778	44724
207	18899	44705
208	19100	44871
209	19204	44810
210	19302	44735
211	19390	44634
212	19502	44589
213	19593	44497
214	19712	44468
215	19803	44373
216	19889	44270
217	19992	44203
218	20065	44071
219	20142	43946
220	20218	43823
221	20290	43688
222	20359	43550
223	20435	43424
224	20508	43296
225	20581	43166
226	20652	43033
227	20725	42904
228	20797	42775
229	20873	42654
230	20949	42533
231	21020	42403
232	21094	42279
233	21165	42150
234	21238	42024
235	21308	41894
236	21383	41775
237	21455	41649
238	21523	41516
239	21597	41395
240	21668	41269
241	21740	41145
242	21813	41023
243	21890	40910
244	21968	40799
245	22044	40684
246	22130	40586
247	22199	40460
248	22272	40340
249	22344	40220
250	22414	40095
251	22484	39972
252	22555	39851
253	22629	39735
254	22698	39610
255	22775	39501
256	22861	39407
257	22937	39295
258	23022	39201
259	23099	39092
260	23176	38982
261	23248	38865
262	23318	38745
263	23395	38637
264	23467	38522
265	23535	38400
266	23603	38278
267	23673	38160
268	23747	38049
269	23816	37930
270	23888	37816
271	23958	37699
272	24031	37587
273	24100	37469
274	24196	37393
275	24264	37276
276	24337	37165
277	24411	37056
278	24491	36956
279	24561	36842
280	24636	36736
281	24721	36643
282	24796	36537
283	24877	36440
284	24951	36333
285	25021	36220
286	25096	36114
287	25175	36015
288	25262	35926
289	25346	35834
290	25428	35739
291	25511	35646
292	25587	35543
293	25667	35445
294	25745	35345
295	25824	35247
296	25900	35144
297	25976	35042
298	26057	34946
299	26131	34842
300	26200	34730
301	26272	34624
302	26344	34517
303	26416	34410
304	26492	34310
305	26569	34210
306	26650	34115
307	26720	34008
308	26794	33905
309	26883	33820
310	26963	33725
311	27041	33629
312	27111	33521
313	27193	33429
314	27277	33338
315	27361	33249
316	27434	33146
317	27516	33054
318	27584	32945
319	27665	32853
320	27740	32752
321	27806	32642
322	27883	32544
323	27956	32443
324	28029	32341
325	28101	32239
326	28169	32132
327	28239	32027
328	28308	31922
329	28383	31823
330	28455	31722
331	28525	31618
332	28594	31514
333	28662	31409
334	28755	31330
335	28831	31233
336	28939	31171
337	29033	31095
338	29105	30993
339	29182	30898
340	29260	30805
